Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total population,Sex ratio (males per 100 females),Median age (years),Unemployment Rate,Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,Asian,Hispanic or Latino (of any race),geoid,typo,INTPTLAT_x,INTPTLONG,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT_y,INTPTLONG,relation_max_fee,relation_min_fee
143,331,42.8,45101,50095,559,4.944467354,3.5,58100,927,277,1025,1744,822,696,1744,112.68,33.8,0.07,0.04,0.05,0.01,0.08,0.18,0.03797297297,0.02,0.17,0.28,0.13,0.03,0.01,0.1,0.83,0.41,0.77,0.07,0.26,0.57,0.13,0.05078651685,0.1,0.15,0.61,0.08,0.49,0.41,0.21,0.14,0.1,0.02,0.08,0.16,0.36,0.02,0.67,36005003100,LI - Ongoing Gentrification,40.81,-73.91,1,2,2,NY,154703,0,0.06,0,40.8098988,-73.9056901,1011,626
242,1002,42.9,20268,30995,1267,4.7,4.1,406300,2139,835.5364007,626,3855,1249,1037,3855,79.89,26.6,0.19,0.07,0.07,0.01,0.14,0.03,0.02,0.02,0.06,0.36,0.13,0.04,0.05,0.26,0.92,0.2,0.89,0.04,0.24,0.81,0.05,0.05078651685,0.1,0.03,0.87,0.07,0.59,0.63,0.22,0.25,0.08,0.03,0.07,0.12,0.35,0.1562713675,0.63,36005003300,LI - At Risk of Gentrification,40.81,-73.91,1,1,1,NY,152385,0,0.059,0,40.8082418,-73.9119436,1134,880
431,816,44.1,26066,36927,1410,3.5,3.9,420000,2205,1008,880,3906,1678,1259,3935,88.82,30.3,0.09,0.09,0.05,0.01,0.07,0.07,0.03797297297,0.06,0.15,0.29,0.14,0.06,0.04268056968,0.24,0.85,0.33,0.93,0.03,0.26,0.63,0.03,0.05078651685,0.11,0.05,0.54,0.09,0.54,0.4,0.2,0.23,0.11,0.04,0.1,0.09,0.3,0.1562713675,0.74,36005003500,LI - At Risk of Gentrification,40.81,-73.91,1,1,1,NY,142005,0,0.055,0,40.8109651,-73.9086696,1025,626
97,200,41.8,30694,57733,433,6,4.7,350000,2364,827,911,1246,262,176,1246,85.97,31.5,0.19,0.04,0.03900655572,0.02,0.05,0.08,0.03797297297,0.05,0.02,0.54,0.08,0.04,0.08,0.25,0.92,0.6,0.74,0.04,0.17,0.54,0.03,0.04,0.06,0.04194654271,0.59,0.1,0.47,0.5,0.11,0.12,0.1,0.1021207729,0.13,0.41,0.41,0.01,0.59,36005003800,LI - At Risk of Gentrification,40.82,-73.86,1,1,1,NY,63397,0,0.024,0,40.8202946,-73.8633435,1275,408
827,837,41.2,28537,45872,2251,5.6,4,245000,1983,835.5364007,1067,6439,3191,2593,6487,116.31,29.5,0.08,0.09,0.07,0.02,0.12,0.06,0.03,0.04,0.06,0.15,0.31,0.04,0.02,0.2,0.68,0.28,0.95,0.04078389831,0.4,0.77,0.01,0.05078651685,0.16,0.05,0.74,0.07,0.61,0.5,0.32,0.15,0.08,0.01,0.08,0.18,0.15,0.1562713675,0.81,36005003900,LI - Ongoing Displacement of Low-Income Households,40.81,-73.92,0,0,0,NY,216210,0,0.083,0,40.8097217,-73.9214264,984,447
85,218,41.6,49709,59509,547,3.8,4.9,409500,2450,795,1057,1489,673,492,1489,91.39,40.2,0.08,0.06,0.03,0.08,0.15,0.06,0.04,0.07,0.11,0.26,0.02,0.08,0.05,0.06,0.89,0.61,0.5,0.01,0.24,0.29,0.15,0.03,0.05,0.01,0.42,0.17,0.42,0.44,0.17,0.13,0.13,0.03,0.23,0.25,0.11,0.19,0.57,36005004001,LI - Ongoing Displacement of Low-Income Households,40.83,-73.86,0,0,0,NY,123145,0,0.048,0,40.8282719,-73.8583355,1270,815
509,1267,39.7,18394,28600,2186,4.944467354,4,342900,2500,835.5364007,538,6158,2226,1432,6208,104.14,24.2,0.19,0.05,0.01,0.02746184285,0.2,0.07,0.03797297297,0.04,0.07,0.27,0.18,0.1,0.02,0.31,0.9,0.27,0.92,0.04,0.19,0.81,0.05,0.01,0.15,0.01,0.81,0.1,0.67,0.59,0.22,0.26,0.06,0.05,0.12,0.16,0.27,0.01,0.8,36005004100,LI - At Risk of Gentrification,40.81,-73.92,1,1,1,NY,184733,0,0.071,0,40.8113856,-73.9194099,1067,447
688,1205,46,23250,33930,2792,1.7,4.2,582861.201,1324,265,815,7848,1993,1257,7848,84.36,34.8,0.22,0.06,0.05,0.02746184285,0.09,0.09,0.01,0.1,0.08,0.47,0.107284545,0.03,0.03,0.12,0.94,0.43,0.9,0.02,0.1,0.57,0.03,0.02,0.03,0.02,0.34,0.12,0.65,0.58,0.08,0.16,0.11,0.07,0.16,0.27,0.53,0.02,0.47,36005004200,LI - At Risk of Gentrification,40.82,-73.86,1,1,1,NY,483356,0,0.187,0,40.8239305,-73.8620068,1386,808
554,1170,39.2,21551,33550,2151,4,3.9,439900,2262,835.5364007,786,5992,2373,1601,6021,107.05,30.3,0.16,0.12,0.08,0.01,0.1,0.05,0.03797297297,0.04,0.09,0.25,0.18,0.04,0.04,0.25,0.86,0.28,0.9,0.02,0.42,0.76,0.04,0.05078651685,0.1,0.03,0.88,0.08,0.63,0.53,0.27,0.15,0.08,0.06,0.09,0.11,0.32,0.01,0.71,36005004300,LI - Ongoing Gentrification,40.81,-73.92,1,2,2,NY,225393,0,0.087,0,40.8136213,-73.9170376,1067,538
336,852,43.7,20725,29794,1696,1.3,4.2,362500,2625,835.5364007,480,4621,1388,860,4827,77.59,32.1,0.27,0.05724859622,0.04,0.02,0.2,0.05,0.03797297297,0.07,0.09,0.39,0.07,0.05,0.04,0.2,0.86,0.35,0.93,0.01,0.2,0.66,0.14,0.01,0.05,0.01,0.84,0.16,0.77,0.52,0.19,0.22,0.09,0.07,0.18,0.13,0.39,0.03,0.62,36005004400,LI - At Risk of Gentrification,40.83,-73.87,1,1,1,NY,265578,0,0.103,0,40.8265155,-73.8664136,1288,808
224,370,37,40625,49529,722,4.944467354,3.8,135200,4000,835.5364007,808,1976,653,440,1976,92.97,33.6,0.11,0.01,0.03900655572,0.02746184285,0.06,0.06,0.01,0.09,0.17,0.28,0.07,0.22,0.03,0.11,0.93,0.46,0.75,0.04,0.21,0.55,0.08,0.02,0.07,0.04,0.25,0.11,0.63,0.51,0.12,0.19,0.19,0.05,0.13,0.45,0.4,0.1562713675,0.6,36005004600,LI - Ongoing Displacement of Low-Income Households,40.82,-73.87,0,0,0,NY,135340,0,0.052,0,40.8224189,-73.8691775,1288,480
532,659,44.6,30179,40701,1445,4.6,3.5,582861.201,1909,835.5364007,1095,4487,2421,1989,4504,97.46,30.1,0.18,0.12,0.05,0.03,0.2,0.09,0.03797297297,0.05,0.06,0.23,0.12,0.06,0.01,0.13,0.82,0.36,0.93,0.04,0.24,0.64,0.09,0.01,0.13,0.07,0.6,0.06,0.62,0.53,0.23,0.2,0.09,0.02,0.08,0.15,0.25,0.1562713675,0.76,36005004800,LI - Ongoing Displacement of Low-Income Households,40.83,-73.87,0,0,0,NY,150832,0,0.058,0,40.8270172,-73.8743044,1288,480
375,918,47.4,27283,43519,1666,1.1,3.9,381800,3484,756,1291,4816,2342,1748,5181,94.04,30.8,0.13,0.09,0.03,0.02746184285,0.12,0.07,0.03797297297,0.02,0.1,0.27,0.19,0.08,0.04,0.19,0.88,0.48,0.86,0.05,0.33,0.63,0.1,0.02,0.09,0.03,0.61,0.09,0.58,0.51,0.23,0.2,0.12,0.05,0.11,0.1,0.34,0.1562713675,0.65,36005005001,LI - Ongoing Displacement of Low-Income Households,40.82,-73.88,0,0,0,NY,97889,0,0.038,0,40.824997,-73.8778533,1204,660
627,922,46.3,28010,37409,2038,3.3,3.4,554900,3295,1066,1168,5609,3356,3103,5687,98.22,30,0.13,0.17,0.03,0.03,0.18,0.02,0.02,0.07,0.09,0.2,0.11,0.09,0.04268056968,0.23,0.72,0.34,0.97,0.04,0.32,0.74,0.14,0.01,0.08,0.1,0.45,0.06,0.6,0.48,0.31,0.14,0.08,0.02,0.08,0.16,0.25,0.01,0.7,36005005002,LI - Ongoing Displacement of Low-Income Households,40.83,-73.88,0,0,0,NY,113902,0,0.044,0,40.8273629,-73.878435,1291,660
595,1205,41.6,19657,28321,2069,1.2,4.1,582861.201,2637.827457,835.5364007,522,5638,1667,1365,5676,62.26,26.4,0.14,0.01,0.01,0.02746184285,0.13,0.04,0.01,0.06,0.11,0.35,0.14,0.09,0.06,0.22,0.93,0.31,1,0.04,0.21,0.83,0.04,0.05078651685,0.05,0.02,0.623960199,0.09,0.6,0.56,0.2,0.16,0.09,0.04,0.1,0.1,0.3,0.1562713675,0.74,36005005100,LI - Ongoing Displacement of Low-Income Households,40.81,-73.93,0,0,0,NY,510448,0,0.197,0,40.8132061,-73.9275676,1503,417
296,367,42,18917,47233,832,4.944467354,3.4,265000,2637.827457,835.5364007,660,2368,998,876,2368,83.57,31.1,0.07,0.09,0.07,0.02746184285,0.17,0.03,0.02,0.02,0.13,0.22,0.1,0.13,0.01,0.23,0.88,0.41,0.96,0.02,0.31,0.71,0.1,0.05078651685,0.09,0.07,0.27,0.11,0.56,0.46,0.17,0.15,0.09,0.06,0.12,0.18,0.27,0.1562713675,0.73,36005005200,LI - At Risk of Gentrification,40.83,-73.88,1,1,1,NY,182689,0,0.071,0,40.8256291,-73.8824329,1291,703
394,868,51.4,15141,23484,1712,8.9,4,582861.201,2637.827457,835.5364007,946,3866,932,783,3866,64.86,27.5,0.22,0.05,0.04,0.01,0.09,0.02,0.01,0.03,0.06,0.42,0.1,0.12,0.05,0.37,0.92,0.2,1,0.01,0.29,0.88,0.01,0.05078651685,0.07,0.02,0.623960199,0.06,0.76,0.64,0.13,0.24,0.12,0.07,0.07,0.12,0.51,0.1562713675,0.48,36005005300,LI - At Risk of Gentrification,40.85,-73.92,1,1,1,NY,68744,3852,0.027,0.001,40.8514336,-73.9226455,1202,822
447,1129,40.3,29857,44579,1967,0.9,4.4,424800,3000,589,1204,6282,3537,2839,6292,97.74,32,0.1,0.13,0.03,0.01,0.13,0.13,0.03797297297,0.06,0.03,0.22,0.17,0.09,0.01,0.12,0.78,0.31,0.84,0.06,0.33,0.7,0.12,0.01,0.06,0.11,0.66,0.06,0.52,0.48,0.27,0.22,0.07,0.03,0.09,0.18,0.26,0.02,0.75,36005005400,LI - Ongoing Displacement of Low-Income Households,40.83,-73.88,0,0,0,NY,196516,0,0.076,0,40.8298985,-73.8797154,1291,660
301,332,41.2,18918,34407,1022,4,3.7,424000,2182,835.5364007,1056,2614,1347,973,2614,73.69,39.3,0.18,0.09,0.02,0.04,0.16,0.08,0.01,0.08,0.13,0.26,0.04,0.08,0.02,0.27,0.91,0.43,0.86,0.04078389831,0.35,0.59,0.14,0.01,0.12,0.02,0.47,0.22,0.43,0.4,0.23,0.19,0.06,0.05,0.23,0.15,0.28,0.02,0.64,36005005600,LI - Ongoing Displacement of Low-Income Households,40.83,-73.88,0,0,0,NY,136188,0,0.053,0,40.8326118,-73.8790757,1204,660
114,432,39.2,29908,49663,1125,4.944467354,3.7,206800,1771,835.5364007,1256,2746,1397,1263,2746,87.7,38.3,0.12,0.04,0.06,0.02746184285,0.12,0.02,0.03797297297,0.06,0.13,0.25,0.13,0.1,0.09,0.19,0.87,0.4,0.8,0.02,0.28,0.65,0.05,0.03,0.04,0.1,0.37,0.11,0.55,0.53,0.17,0.09,0.26,0.09,0.16,0.17,0.26,0.01,0.74,36005005902,LI - At Risk of Gentrification,40.82,-73.92,1,1,1,NY,69637,0,0.027,0,40.8241299,-73.9234195,1178,696
69,208,39.8,39783,48273,402,4.7,3.6,370800,2637.827457,636,1118,1269,666,555,1269,86.34,31,0.12,0.03,0.03,0.03,0.11,0.04,0.02,0.06,0.07,0.43,0.09,0.08,0.02,0.13,0.9,0.48,0.95,0.07,0.29,0.43,0.27,0.02,0.12,0.09,0.12,0.1,0.59,0.46,0.15,0.2,0.23,0.05,0.12,0.13,0.2,0.02,0.76,36005006000,LI - Ongoing Displacement of Low-Income Households,40.84,-73.88,0,0,0,NY,315748,0,0.122,0,40.8377073,-73.8779705,1204,561
138,231,36.6,42713,48072,2349,9.2,3.8,23100,2637.827457,835.5364007,1011,3878,705,586,3878,75.79,50.9,0.15,0.05724859622,0.03900655572,0.01,0.04,0.14,0.02,0.06,0.1,0.31,0.16,0.03,0.14,0.09,0.91,0.7,0.44,0.04078389831,0.1,0.68,0.02,0.01,0.01,0.02,0.18,0.31,0.61,0.4,0.06,0.08,0.32,0.14,0.4,0.06,0.77,0.01,0.21,36005006100,LI - Ongoing Displacement of Low-Income Households,40.82,-73.92,0,0,0,NY,242362,0,0.094,0,40.8222516,-73.9226669,1256,696
480,1474,43.2,24835,33594,2531,3.3,4,582861.201,2637.827457,835.5364007,703,7381,3050,2162,7386,100.43,29.3,0.14,0.12,0.04,0.03,0.09,0.03,0.03,0.11,0.12,0.23,0.1,0.12,0.04268056968,0.24,0.87,0.35,0.97,0.01,0.25,0.74,0.05,0.05078651685,0.06,0.06,0.623960199,0.09,0.51,0.51,0.3,0.27,0.07,0.04,0.13,0.12,0.39,0.02,0.68,36005006200,LI - Ongoing Displacement of Low-Income Households,40.83,-73.88,0,0,0,NY,192942,0,0.074,0,40.8332756,-73.8755275,1204,660
300,584,42.8,31926,42131,2012,4.2,3.5,222800,1082,525,1162,4238,2135,1794,4291,112.74,35.7,0.11,0.04,0.06,0.02,0.11,0.13,0.02,0.08,0.1,0.24,0.09,0.06,0.07,0.17,0.85,0.39,0.92,0.03,0.23,0.74,0.03,0.05078651685,0.02,0.08,0.45,0.09,0.47,0.47,0.17,0.11,0.25,0.08,0.12,0.2,0.28,0.04,0.67,36005006300,LI - Ongoing Displacement of Low-Income Households,40.82,-73.93,0,0,0,NY,1046237,9963,0.404,0.004,40.8242061,-73.9287302,1311,874
254,652,50.3,27917,35262,1442,1.6,3.9,541300,4000,900,1203,3266,1370,1065,3266,106.45,38,0.1,0.19,0.03,0.03,0.1,0.09,0.06,0.07,0.06,0.28,0.06,0.02,0.01,0.24,0.85,0.39,0.85,0.04,0.38,0.57,0.07,0.02,0.09,0.04194654271,0.6,0.16,0.34,0.47,0.07,0.2,0.13,0.06,0.18,0.22,0.36,0.06,0.53,36005006400,LI - Not Losing Low-Income Households,40.83,-73.87,0,0,0,NY,168249,0,0.065,0,40.8330289,-73.8722067,1288,480
476,902,38.6,22365,31130,1996,2,3.8,582861.201,2637.827457,835.5364007,984,5513,2082,1704,5609,104.71,30,0.11,0.06,0.08,0.03,0.14,0.02,0.01,0.01,0.05,0.29,0.25,0.05,0.02,0.25,0.84,0.24,0.98,0.05,0.27,0.84,0.05,0.05078651685,0.07,0.04,0.22,0.07,0.6,0.56,0.13,0.16,0.11,0.02,0.1,0.09,0.32,0.02,0.67,36005006500,LI - At Risk of Gentrification,40.82,-73.92,1,1,1,NY,261808,0,0.101,0,40.8173984,-73.9216592,1256,538
781,1474,45.4,20945,51894,2416,1.3,4.1,349200,2637.827457,590,696,7588,3043,2528,7597,82.44,27.2,0.16,0.05,0.02,0.02746184285,0.13,0.12,0.03797297297,0.07,0.02,0.23,0.21,0.13,0.03,0.28,0.82,0.19,0.95,0.04,0.26,0.85,0.01,0.05078651685,0.13,0.03,0.33,0.08,0.61,0.53,0.33,0.23,0.06,0.04,0.11,0.05,0.32,0.1562713675,0.65,36005006700,LI - At Risk of Gentrification,40.82,-73.92,1,1,1,NY,212430,0,0.082,0,40.8195023,-73.9181767,1256,786
337,559,44,47863,54102,1074,4.944467354,4.4,404400,2950,1101,1228,3358,1699,1549,3358,143.86,31.8,0.13,0.11,0.01,0.01,0.13,0.09,0.03797297297,0.03,0.09,0.33,0.17,0.04,0.01,0.12,0.81,0.5,0.75,0.02,0.33,0.47,0.11,0.05078651685,0.12,0.03,0.64,0.12,0.47,0.41,0.15,0.09,0.11,0.03,0.13,0.08,0.42,0.09,0.47,36005006800,LI - Ongoing Displacement of Low-Income Households,40.83,-73.87,0,0,0,NY,154374,0,0.06,0,40.8289669,-73.870482,1288,480
932,1855,37.7,26513,44204,2741,1.9,4.1,574100,4000,835.5364007,873,8560,3278,2688,8672,88.64,27.5,0.13,0.04,0.03,0.01,0.12,0.1,0.01,0.04,0.06,0.31,0.09,0.09,0.12,0.19,0.89,0.29,0.94,0.03,0.25,0.69,0.04,0.05078651685,0.07,0.02,0.89,0.09,0.57,0.54,0.19,0.15,0.2,0.05,0.1,0.1,0.41,0.02,0.56,36005006900,LI - Ongoing Gentrification,40.82,-73.92,1,2,2,NY,187977,0,0.073,0,40.8218666,-73.9157567,1256,696
461,821,46.7,33412,49123,1455,1.6,4.5,421500,2379,1091,1288,4828,2529,1969,4889,86.82,32.3,0.13,0.1,0.06,0.02746184285,0.16,0.07,0.03797297297,0.07,0.11,0.24,0.13,0.05,0.02,0.1,0.87,0.39,0.79,0.02,0.35,0.5,0.18,0.02,0.1,0.08,0.7,0.11,0.5,0.48,0.15,0.26,0.11,0.02,0.14,0.23,0.23,0.07,0.63,36005007000,LI - Not Losing Low-Income Households,40.83,-73.87,0,0,0,NY,204891,0,0.079,0,40.8298152,-73.8656233,1228,480
174,399,46.5,37744,50114,999,4.7,4.1,223400,1228,629,1011,2483,815,604,2544,73.3,31.4,0.14,0.04,0.05,0.03,0.08,0.05,0.01,0.16,0.07,0.34,0.09,0.04,0.05,0.13,0.92,0.47,0.62,0.02,0.47,0.57,0.09,0.02,0.07,0.04194654271,0.91,0.09,0.54,0.49,0.12,0.13,0.24,0.08,0.15,0.13,0.37,0.02,0.64,36005007100,LI - Ongoing Gentrification,40.82,-73.91,1,2,2,NY,264262,0,0.102,0,40.8182214,-73.9128301,1074,793
