,Label (Grouping)_x,Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_numb,Label (Grouping)_y,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),tract,LOGRECNO,GEOID,geoid,typo,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             ,label 
10,"Census Tract 27.02, Bronx County, New York!!Estimate",223,"1,037",48.2,"16,000","28,822","1,476",0,0,4.3,"437,100","1,441",-,963,"4,412","1,775","1,146",(X),"4,684",94.76091476,27.3,"Census Tract 27.02, Bronx County, New York","Census Tract 27.02, Bronx County, New York!!Percent",6.20%,0.00%,1.80%,1.70%,1.10%,18.50%,7.40%,4.20%,5.40%,5.10%,20.70%,18.30%,12.20%,3.60%,24.70%,79.60%,26.30%,0.00%,0.00%,94.90%,3.00%,28.60%,88.20%,1.30%,0.00%,4.10%,2.50%,100.00%,8.00%,67.90%,57.90%,23.80%,23.50%,7.70%,5.80%,8.70%,14.60%,36.40%,1.20%,0.00%,69.10%,27.02,3490,14000US36005002702,36005002702,LI - At Risk of Gentrification,NY,155504,0,0.06,0,40.806449,-73.9137729,1
11,"Census Tract 28, Bronx County, New York!!Estimate",223,659,43.9,"49,180","56,253","2,435",0,0,3.8,"254,700","1,484",-,937,"5,341","1,478","1,033",(X),"5,350",85.05707368,42.7,"Census Tract 28, Bronx County, New York","Census Tract 28, Bronx County, New York!!Percent",11.90%,0.00%,0.00%,0.00%,4.60%,8.70%,9.90%,2.00%,10.50%,7.60%,43.30%,3.70%,1.60%,8.10%,4.90%,94.50%,63.30%,0.00%,0.00%,83.40%,0.90%,14.80%,34.50%,8.00%,1.90%,4.40%,3.10%,72.50%,17.00%,57.20%,52.00%,9.50%,7.80%,19.90%,15.10%,19.90%,11.20%,64.70%,0.00%,0.70%,37.60%,28,3491,14000US36005002800,36005002800,LI - Ongoing Displacement of Low-Income Households,NY,414588,24677,0.16,0.01,40.8225183,-73.8782336,0
12,"Census Tract 31, Bronx County, New York!!Estimate",143,331,42.8,"45,101","50,095",559,0,0,3.5,"58,100",927,277,"1,025","1,744",822,696,(X),"1,744",112.6829268,33.8,"Census Tract 31, Bronx County, New York","Census Tract 31, Bronx County, New York!!Percent",6.90%,0.00%,3.60%,4.80%,1.30%,8.00%,18.20%,0.00%,2.10%,16.90%,27.90%,13.20%,2.70%,1.40%,9.80%,82.90%,41.40%,0.90%,0.00%,76.70%,6.80%,26.30%,57.40%,12.90%,0.00%,10.40%,14.70%,60.80%,7.50%,49.00%,40.60%,21.30%,14.40%,10.30%,2.20%,8.30%,16.10%,36.00%,0.00%,2.00%,67.00%,31,3492,14000US36005003100,36005003100,LI - Ongoing Gentrification,NY,154703,0,0.06,0,40.8098988,-73.9056901,1
13,"Census Tract 33, Bronx County, New York!!Estimate",242,"1,002",42.9,"20,268","30,995","1,267",0,4.7,4.1,"406,300","2,139",-,626,"3,855","1,249","1,037",(X),"3,855",79.88800747,26.6,"Census Tract 33, Bronx County, New York","Census Tract 33, Bronx County, New York!!Percent",18.60%,0.00%,6.60%,7.30%,1.40%,14.30%,2.90%,2.30%,1.80%,5.80%,35.90%,13.10%,3.90%,4.60%,25.50%,92.10%,20.30%,0.00%,0.00%,89.40%,4.30%,24.10%,80.50%,5.10%,0.00%,10.30%,2.90%,87.20%,6.60%,58.90%,62.70%,22.10%,24.60%,7.80%,2.60%,6.90%,12.10%,34.70%,2.30%,0.00%,62.50%,33,3493,14000US36005003300,36005003300,LI - At Risk of Gentrification,NY,152385,0,0.059,0,40.8082418,-73.9119436,1
14,"Census Tract 35, Bronx County, New York!!Estimate",431,816,44.1,"26,066","36,927","1,410",0,3.5,3.9,"420,000","2,205","1,008",880,"3,906","1,678","1,259",(X),"3,935",88.81957774,30.3,"Census Tract 35, Bronx County, New York","Census Tract 35, Bronx County, New York!!Percent",9.20%,0.20%,8.60%,5.30%,1.20%,6.90%,6.70%,0.00%,6.30%,15.20%,29.30%,13.90%,6.30%,0.00%,23.60%,84.90%,33.20%,0.00%,0.00%,92.90%,2.70%,26.20%,63.40%,2.60%,0.00%,10.80%,4.80%,54.20%,9.10%,53.70%,39.70%,19.90%,23.40%,10.50%,4.00%,10.00%,9.40%,29.80%,0.60%,0.00%,73.50%,35,3494,14000US36005003500,36005003500,LI - At Risk of Gentrification,NY,142005,0,0.055,0,40.8109651,-73.9086696,1
15,"Census Tract 37, Bronx County, New York!!Estimate",0,28,34.4,-,"27,603",145,-,0,3.1,-,-,-,930,279,80,46,(X),279,119.6850394,45.9,"Census Tract 37, Bronx County, New York","Census Tract 37, Bronx County, New York!!Percent",10.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,36.70%,38.80%,24.50%,0.00%,0.00%,35.20%,97.10%,44.80%,0.00%,0.00%,100.00%,6.20%,35.90%,72.40%,8.30%,8.30%,5.50%,0.00%,-,1.40%,68.20%,38.30%,12.40%,17.80%,5.90%,1.40%,9.30%,31.50%,21.50%,0.00%,0.00%,58.40%,37,3495,14000US36005003700,36005003700,Missing Data,NY,165973,0,0.064,0,40.811457,-73.9121722,0
16,"Census Tract 38, Bronx County, New York!!Estimate",97,200,41.8,"30,694","57,733",433,0,6,4.7,"350,000","2,364",827,911,"1,246",262,176,(X),"1,246",85.97014925,31.5,"Census Tract 38, Bronx County, New York","Census Tract 38, Bronx County, New York!!Percent",19.10%,0.00%,3.70%,0.00%,2.40%,4.80%,7.60%,0.00%,5.40%,2.20%,54.40%,7.60%,3.70%,8.20%,24.50%,92.10%,60.40%,0.00%,0.00%,73.70%,4.40%,16.70%,53.60%,2.90%,4.40%,5.70%,0.00%,59.40%,10.10%,46.60%,49.50%,11.10%,12.20%,9.70%,0.00%,13.00%,41.40%,40.70%,0.00%,1.20%,58.50%,38,3496,14000US36005003800,36005003800,LI - At Risk of Gentrification,NY,63397,0,0.024,0,40.8202946,-73.8633435,1
17,"Census Tract 39, Bronx County, New York!!Estimate",827,837,41.2,"28,537","45,872","2,251",0,5.6,4,"245,000","1,983",-,"1,067","6,439","3,191","2,593",(X),"6,487",116.3054351,29.5,"Census Tract 39, Bronx County, New York","Census Tract 39, Bronx County, New York!!Percent",8.30%,0.00%,9.40%,7.20%,1.80%,11.70%,6.10%,2.50%,3.70%,6.20%,14.70%,30.50%,4.20%,2.10%,19.80%,67.60%,28.00%,0.00%,0.00%,94.50%,0.00%,40.30%,76.90%,0.90%,0.00%,16.40%,4.80%,74.30%,7.20%,61.00%,49.90%,32.20%,15.20%,8.20%,0.50%,8.30%,17.80%,14.60%,1.40%,0.00%,81.30%,39,3497,14000US36005003900,36005003900,LI - Ongoing Displacement of Low-Income Households,NY,216210,0,0.083,0,40.8097217,-73.9214264,0
18,"Census Tract 40.01, Bronx County, New York!!Estimate",85,218,41.6,"49,709","59,509",547,3.8,3.8,4.9,"409,500","2,450",795,"1,057","1,489",673,492,(X),"1,489",91.38817481,40.2,"Census Tract 40.01, Bronx County, New York","Census Tract 40.01, Bronx County, New York!!Percent",8.20%,0.00%,6.30%,2.80%,8.00%,15.10%,5.70%,4.00%,6.50%,11.00%,25.50%,1.90%,8.30%,4.90%,5.70%,89.10%,60.80%,0.00%,0.00%,50.00%,1.00%,23.50%,28.90%,15.40%,2.80%,5.30%,0.80%,41.90%,16.90%,41.90%,43.90%,16.50%,12.90%,13.30%,2.80%,23.30%,24.80%,10.70%,0.00%,18.80%,57.00%,40.01,3498,14000US36005004001,36005004001,LI - Ongoing Displacement of Low-Income Households,NY,123145,0,0.048,0,40.8282719,-73.8583355,0
19,"Census Tract 41, Bronx County, New York!!Estimate",509,"1,267",39.7,"18,394","28,600","2,186",17.7,0,4,"342,900","2,500",-,538,"6,158","2,226","1,432",(X),"6,208",104.1433739,24.2,"Census Tract 41, Bronx County, New York","Census Tract 41, Bronx County, New York!!Percent",18.50%,0.00%,5.40%,0.80%,0.00%,19.50%,7.40%,0.00%,3.80%,7.10%,26.70%,18.00%,9.80%,1.50%,30.80%,89.60%,26.60%,0.00%,0.00%,92.30%,3.50%,18.80%,81.00%,5.30%,0.60%,14.50%,1.40%,81.00%,9.50%,66.50%,58.60%,21.90%,25.80%,5.70%,4.60%,12.00%,15.80%,27.40%,0.00%,0.50%,79.80%,41,3499,14000US36005004100,36005004100,LI - At Risk of Gentrification,NY,184733,0,0.071,0,40.8113856,-73.9194099,1
20,"Census Tract 42, Bronx County, New York!!Estimate",688,"1,205",46,"23,250","33,930","2,792",0,1.7,4.2,-,"1,324",265,815,"7,848","1,993","1,257",(X),"7,848",84.3551797,34.8,"Census Tract 42, Bronx County, New York","Census Tract 42, Bronx County, New York!!Percent",22.10%,0.00%,6.20%,4.80%,0.00%,8.60%,9.40%,1.00%,9.50%,7.70%,47.10%,0.00%,2.80%,3.00%,11.90%,94.10%,42.60%,0.00%,0.00%,90.10%,1.70%,9.60%,57.00%,2.80%,1.60%,2.80%,1.50%,34.20%,12.20%,65.20%,58.30%,8.20%,16.10%,11.30%,6.50%,15.50%,27.20%,52.80%,0.90%,2.40%,46.90%,42,3500,14000US36005004200,36005004200,LI - At Risk of Gentrification,NY,483356,0,0.187,0,40.8239305,-73.8620068,1
21,"Census Tract 43, Bronx County, New York!!Estimate",554,"1,170",39.2,"21,551","33,550","2,151",0,4,3.9,"439,900","2,262",-,786,"5,992","2,373","1,601",(X),"6,021",107.0495186,30.3,"Census Tract 43, Bronx County, New York","Census Tract 43, Bronx County, New York!!Percent",16.20%,0.00%,12.40%,8.30%,0.50%,10.20%,5.10%,0.00%,3.90%,9.30%,24.60%,17.80%,4.40%,3.50%,24.90%,85.50%,27.70%,0.00%,3.20%,90.10%,2.00%,42.20%,76.00%,3.60%,0.00%,10.40%,3.30%,87.70%,8.10%,63.30%,53.40%,26.50%,15.30%,8.30%,6.20%,8.90%,10.60%,31.50%,0.80%,0.60%,71.20%,43,3501,14000US36005004300,36005004300,LI - Ongoing Gentrification,NY,225393,0,0.087,0,40.8136213,-73.9170376,1
22,"Census Tract 44, Bronx County, New York!!Estimate",336,852,43.7,"20,725","29,794","1,696",0,1.3,4.2,"362,500","2,625",-,480,"4,621","1,388",860,(X),"4,827",77.59381898,32.1,"Census Tract 44, Bronx County, New York","Census Tract 44, Bronx County, New York!!Percent",27.20%,0.00%,0.00%,3.60%,1.70%,19.90%,4.80%,0.00%,6.60%,8.90%,38.60%,7.20%,5.10%,3.60%,20.40%,85.80%,34.90%,0.00%,1.30%,93.00%,1.30%,19.70%,65.90%,14.10%,0.50%,4.60%,1.30%,83.50%,16.10%,76.80%,52.10%,19.20%,22.10%,9.00%,7.00%,18.00%,12.80%,38.80%,0.50%,2.90%,62.30%,44,3502,14000US36005004400,36005004400,LI - At Risk of Gentrification,NY,265578,0,0.103,0,40.8265155,-73.8664136,1
23,"Census Tract 46, Bronx County, New York!!Estimate",224,370,37,"40,625","49,529",722,0,0,3.8,"135,200","4,000+",-,808,"1,976",653,440,(X),"1,976",92.96875,33.6,"Census Tract 46, Bronx County, New York","Census Tract 46, Bronx County, New York!!Percent",11.20%,0.00%,0.90%,0.00%,0.00%,5.90%,6.00%,0.90%,8.80%,17.40%,28.20%,6.60%,22.30%,3.00%,11.00%,93.40%,46.00%,0.00%,2.10%,75.20%,3.90%,20.80%,54.70%,7.60%,1.90%,7.20%,4.20%,24.90%,10.70%,63.00%,51.20%,11.60%,19.00%,18.50%,5.20%,13.30%,45.10%,39.80%,0.40%,0.00%,60.20%,46,3503,14000US36005004600,36005004600,LI - Ongoing Displacement of Low-Income Households,NY,135340,0,0.052,0,40.8224189,-73.8691775,0
24,"Census Tract 48, Bronx County, New York!!Estimate",532,659,44.6,"30,179","40,701","1,445",0,4.6,3.5,-,"1,909",-,"1,095","4,487","2,421","1,989",(X),"4,504",97.45725559,30.1,"Census Tract 48, Bronx County, New York","Census Tract 48, Bronx County, New York!!Percent",18.10%,0.00%,11.60%,4.70%,2.70%,19.80%,8.90%,0.00%,5.20%,5.80%,22.90%,11.60%,6.00%,0.80%,12.70%,81.50%,35.50%,0.00%,0.00%,92.80%,3.80%,24.20%,64.20%,9.10%,1.10%,12.70%,7.30%,60.40%,6.10%,61.70%,52.90%,22.60%,19.90%,8.80%,1.50%,8.10%,14.60%,24.60%,0.50%,0.00%,75.60%,48,3504,14000US36005004800,36005004800,LI - Ongoing Displacement of Low-Income Households,NY,150832,0,0.058,0,40.8270172,-73.8743044,0
25,"Census Tract 50.01, Bronx County, New York!!Estimate",375,918,47.4,"27,283","43,519","1,666",0,1.1,3.9,"381,800","3,484",756,"1,291","4,816","2,342","1,748",(X),"5,181",94.04494382,30.8,"Census Tract 50.01, Bronx County, New York","Census Tract 50.01, Bronx County, New York!!Percent",13.00%,0.00%,8.60%,2.60%,0.00%,11.70%,7.00%,0.00%,2.00%,9.90%,26.80%,18.90%,8.40%,4.10%,19.40%,87.50%,48.40%,0.00%,3.30%,85.60%,5.40%,32.60%,63.00%,9.60%,2.10%,8.50%,3.10%,61.30%,8.90%,57.60%,50.90%,23.10%,19.70%,11.80%,4.50%,11.10%,10.40%,33.50%,1.40%,0.30%,65.40%,50.01,3505,14000US36005005001,36005005001,LI - Ongoing Displacement of Low-Income Households,NY,97889,0,0.038,0,40.824997,-73.8778533,0
26,"Census Tract 50.02, Bronx County, New York!!Estimate",627,922,46.3,"28,010","37,409","2,038",0,3.3,3.4,"554,900","3,295","1,066","1,168","5,609","3,356","3,103",(X),"5,687",98.22237713,30,"Census Tract 50.02, Bronx County, New York","Census Tract 50.02, Bronx County, New York!!Percent",12.70%,0.00%,16.70%,2.60%,3.10%,18.00%,2.10%,2.20%,6.80%,8.60%,19.50%,11.30%,8.80%,0.40%,23.40%,72.00%,34.10%,0.00%,0.00%,96.60%,3.50%,32.30%,73.70%,14.30%,1.10%,7.80%,9.70%,45.30%,6.00%,60.00%,47.70%,31.20%,13.70%,7.80%,2.30%,8.30%,15.50%,25.40%,2.80%,1.40%,69.50%,50.02,3506,14000US36005005002,36005005002,LI - Ongoing Displacement of Low-Income Households,NY,113902,0,0.044,0,40.8273629,-73.878435,0
27,"Census Tract 51, Bronx County, New York!!Estimate",595,"1,205",41.6,"19,657","28,321","2,069",-,1.2,4.1,-,-,-,522,"5,638","1,667","1,365",(X),"5,676",62.26415094,26.4,"Census Tract 51, Bronx County, New York","Census Tract 51, Bronx County, New York!!Percent",14.10%,0.00%,1.40%,0.60%,0.30%,13.00%,3.80%,0.50%,5.90%,11.40%,34.50%,13.50%,9.30%,5.80%,21.50%,92.60%,31.20%,0.00%,4.60%,100.00%,3.70%,21.40%,83.30%,3.80%,0.20%,4.80%,1.80%,-,8.80%,59.90%,56.00%,20.30%,16.10%,9.10%,4.10%,9.80%,9.90%,29.70%,1.40%,0.40%,74.30%,51,3507,14000US36005005100,36005005100,LI - Ongoing Displacement of Low-Income Households,NY,510448,0,0.197,0,40.8132061,-73.9275676,0
28,"Census Tract 52, Bronx County, New York!!Estimate",296,367,42,"18,917","47,233",832,0,0,3.4,"265,000",-,-,660,"2,368",998,876,(X),"2,368",83.56589147,31.1,"Census Tract 52, Bronx County, New York","Census Tract 52, Bronx County, New York!!Percent",6.50%,0.00%,9.40%,7.20%,0.40%,16.90%,3.40%,2.30%,1.90%,12.70%,21.60%,9.90%,13.20%,1.10%,23.10%,88.30%,41.40%,0.00%,0.00%,95.60%,2.00%,31.40%,70.60%,10.20%,0.00%,8.90%,6.50%,27.00%,10.50%,55.60%,45.50%,16.90%,15.10%,9.40%,6.10%,12.20%,17.70%,26.60%,1.50%,0.40%,72.50%,52,3508,14000US36005005200,36005005200,LI - At Risk of Gentrification,NY,182689,0,0.071,0,40.8256291,-73.8824329,1
